source,text,created_at,retweet_count,favorite_count,is_retweet,id_str
Twitter for iPhone,Had a very good telephone conversation with President Xi of China. We will be having an extended meeting next week at the G-20 in Japan. Our respective teams will begin talks prior to our meeting.,06/18/19,17629,83109,FALSE,1.14E+18
Twitter for iPhone,Mario Draghi just announced more stimulus could come which immediately dropped the Euro against the Dollar making it unfairly easier for them to compete against the USA. They have been getting away with this for years along with China and others.,06/18/19,14592,58420,FALSE,1.14E+18
Twitter for iPhone,“Biden would be China’s Dream Candidate because there would be no more Tariffs no more demands that China stop stealing our IP things would go back to the old days with America’s manufacturers &amp; workers getting shafted. He has Zero Credibility!” @IngrahamAngle  So true!,06/13/19,16730,66179,FALSE,1.14E+18
Twitter for iPhone,“Biden would be America’s Dream Candidate because there would be no more Tariffs no more demands that China stop stealing our IP things would go back to the old days with America’s manufacturers &amp; workers getting shafted. He has Zero Credibility!” @IngrahamAngle  So true!,06/13/19,3482,12873,FALSE,1.14E+18
Twitter for iPhone,....If Mexico produces (which I think they will). Biggest part of deal with Mexico has not yet been revealed! China is similar except they devalue currency and subsidize companies to lessen effect of 25% Tariff. So far little effect to consumer. Companies will relocate to U.S.,06/11/19,12988,67770,FALSE,1.14E+18
Twitter for iPhone,China is subsidizing its product in order that it can continue to be sold in the USA. Many firms are leaving China for other countries including the United States in order to avoid paying the Tariffs. No visible increase in costs or inflation but U.S. is taking in Billions!,06/07/19,15925,67954,FALSE,1.14E+18
Twitter for iPhone,China is subsidizing its product in order that it can continue to be sold in the USA. Many firms are leaving China for other countries including the United States in order to avoid paying the Tariffs. No visible increase in costs or inflation but U.S. is taking Billions!,06/03/19,16997,74134,FALSE,1.14E+18
Twitter for iPhone,Washington Post got it wrong as usual. The U.S. is charging 25% against 250 Billion Dollars of goods shipped from China not 200 BD. Also China is paying a heavy cost in that they will subsidize goods to keep them coming devalue their currency yet companies are moving to.....,06/01/19,18544,88727,FALSE,1.13E+18
Twitter for iPhone,RT @GOPChairwoman: The @realDonaldTrump administration's fight for better trade deals doesn't end with China. The president is working ha…,05/25/19,8646,0,TRUE,1.13E+18
Twitter for iPhone,Looks like Bernie Sanders is history. Sleepy Joe Biden is pulling ahead and think about it I’m only here because of Sleepy Joe and the man who took him off the 1% trash heap President O! China wants Sleepy Joe BADLY!,05/20/19,25412,112933,FALSE,1.13E+18
Twitter for iPhone,China will be pumping money into their system and probably reducing interest rates as always in order to make up for the business they are and will be losing. If the Federal Reserve ever did a “match” it would be game over we win! In any event China wants a deal!,05/14/19,17219,72628,FALSE,1.13E+18
Twitter for iPhone,Our great Patriot Farmers will be one of the biggest beneficiaries of what is happening now. Hopefully China will do us the honor of continuing to buy our great farm product the best but if not your Country will be making up the difference based on a very high China buy......,05/14/19,15910,78617,FALSE,1.13E+18
Twitter for iPhone,....This money will come from the massive Tariffs being paid to the United States for allowing China and others to do business with us. The Farmers have been “forgotten” for many years. Their time is now!,05/14/19,13781,68891,FALSE,1.13E+18
Twitter for iPhone,When the time is right we will make a deal with China. My respect and friendship with President Xi is unlimited but as I have told him many times before this must be a great deal for the United States or it just doesn’t make any sense. We have to be allowed to make up some.....,05/14/19,20249,107048,FALSE,1.13E+18
Twitter for iPhone,....of the tremendous ground we have lost to China on Trade since the ridiculous one sided formation of the WTO. It will all happen and much faster than people think!,05/14/19,15508,85117,FALSE,1.13E+18
Twitter for iPhone,We can make a deal with China tomorrow before their companies start leaving so as not to lose USA business but the last time we were close they wanted to renegotiate the deal. No way! We are in a much better position now than any deal we could have made. Will be taking in.....,05/14/19,16000,76216,FALSE,1.13E+18
Twitter for iPhone,....so that they will be more competitive for USA buyers. We are now a much bigger economy than China and have substantially increased in size since the great 2016 Election. We are the “piggy bank” that everyone wants to raid and take advantage of. NO MORE!,05/14/19,14440,71829,FALSE,1.13E+18
Twitter for iPhone,China buys MUCH less from us than we buy from them by almost 500 Billion Dollars so we are in a fantastic position. Make your product at home in the USA and there is no Tariff. You can also buy from a non-Tariffed country instead of China. Many companies are leaving China.....,05/14/19,19724,93932,FALSE,1.13E+18
Twitter for iPhone,In one year Tariffs have rebuilt our Steel Industry - it is booming! We placed a 25% Tariff on “dumped” steel from China &amp; other countries and we now have a big and growing industry. We had to save Steel for our defense and auto industries both of which are coming back strong!,05/14/19,18806,80684,FALSE,1.13E+18
Twitter for iPhone,..There will be nobody left in China to do business with. Very bad for China very good for USA! But China has taken so advantage of the U.S. for so many years that they are way ahead (Our Presidents did not do the job). Therefore China should not retaliate-will only get worse!,05/13/19,16702,79611,FALSE,1.13E+18
Twitter for iPhone,There is no reason for the U.S. Consumer to pay the Tariffs which take effect on China today. This has been proven recently when only 4 points were paid by the U.S. 21 points by China because China subsidizes product to such a large degree. Also the Tariffs can be.....,05/13/19,18882,88617,FALSE,1.13E+18
Twitter for iPhone,...completely avoided if you buy from a non-Tariffed Country or you buy the product inside the USA (the best idea). That’s Zero Tariffs. Many Tariffed companies will be leaving China for Vietnam and other such countries in Asia. That’s why China wants to make a deal so badly!...,05/13/19,14834,73870,FALSE,1.13E+18
Twitter for iPhone,RT @GOPChairwoman: Joe Biden let China get away with cheating when he was Vice President and he continues to naively dismiss China today.…,05/13/19,14691,0,TRUE,1.13E+18
Twitter for iPhone,The unexpectedly good first quarter 3.2% GDP was greatly helped by Tariffs from China. Some people just don’t get it!,05/13/19,13492,58788,FALSE,1.13E+18
Twitter for iPhone,I say openly to President Xi &amp; all of my many friends in China that China will be hurt very badly if you don’t make a deal because companies will be forced to leave China for other countries. Too expensive to buy in China. You had a great deal almost completed &amp; you backed out!,05/13/19,20544,87353,FALSE,1.13E+18
Twitter for iPhone,Their is no reason for the U.S. Consumer to pay the Tariffs which take effect on China today. This has been proven recently when only 4 points were paid by the U.S. 21 points by China because China subsidizes product to such a large degree. Also the Tariffs can be.....,05/13/19,11309,49347,FALSE,1.13E+18
Twitter for iPhone,....completely avoided if you by from a non-Tariffed Country or you buy the product inside the USA (the best idea). That’s Zero Tariffs. Many Tariffed companies will be leaving China for Vietnam and other such countries in Asia. That’s why China wants to make a deal so badly!...,05/13/19,10000,45376,FALSE,1.13E+18
Twitter for iPhone,..There will be nobody left in China to do business with. Very bad for China very good for USA! But China has taken so advantage of the U.S. for so many years that they are way ahead (Our Presidents did not do the job). Therefore China should not retaliate-will only get worse!,05/13/19,10570,47367,FALSE,1.13E+18
Twitter for iPhone,China is DREAMING that Sleepy Joe Biden or any of the others gets elected in 2020. They LOVE ripping off America!,05/12/19,19120,80908,FALSE,1.13E+18
Twitter for iPhone,We are right where we want to be with China. Remember they broke the deal with us &amp; tried to renegotiate. We will be taking in Tens of Billions of Dollars in Tariffs from China. Buyers of product can make it themselves in the USA (ideal) or buy it from non-Tariffed countries...,05/12/19,19411,90463,FALSE,1.13E+18
Twitter for iPhone,....We will then spend (match or better) the money that China may no longer be spending with our Great Patriot Farmers (Agriculture) which is a small percentage of total Tariffs received and distribute the food to starving people in nations around the world! GREAT! #MAGA,05/12/19,15564,73758,FALSE,1.13E+18
Twitter for iPhone,RT @realDonaldTrump: I think that China felt they were being beaten so badly in the recent negotiation that they may as well wait around fo…,05/12/19,26036,0,TRUE,1.13E+18
Twitter for iPhone,RT @GOPChairwoman: An Ohio manufacturing CEO explains that cracking down on China has meant stability and predictability for his business.…,05/11/19,13558,0,TRUE,1.13E+18
Twitter for iPhone,I think that China felt they were being beaten so badly in the recent negotiation that they may as well wait around for the next election 2020 to see if they could get lucky &amp; have a Democrat win - in which case they would continue to rip-off the USA for $500 Billion a year....,05/11/19,26036,116215,FALSE,1.13E+18
Twitter for iPhone,RT @GovMikeHuckabee: I sure wish Sen Richard Burr was as interested in Biden's cushy deals w/ Ukraine &amp; China while VP than he is in the ha…,05/11/19,15466,0,TRUE,1.13E+18
Twitter for iPhone,RT @GOPChairwoman: While @realDonaldTrump is standing up to China’s unfair trade practices Joe Biden says they are not “competition for us…,05/11/19,11297,0,TRUE,1.13E+18
Twitter for iPhone,RT @GOP: “This is crazy... China not being a threat? [Biden is] so out of touch.” -@kayleighmcenany https://t.co/wlpYxS7wTS,05/11/19,5271,0,TRUE,1.13E+18
Twitter for iPhone,RT @LindseyGrahamSC: When it comes to China they will never change their behavior until someone stands up to them.  I’m proud of President…,05/11/19,6461,0,TRUE,1.13E+18
Twitter for iPhone,RT @TommyHicksGOP: For years China has engaged in unfair trade practices. While the US-China relationship is important @realDonaldTrump i…,05/11/19,4368,0,TRUE,1.13E+18
Twitter for iPhone,RT @LindseyGrahamSC: Will stand behind President @realDonaldTrump and his team as he insists on a  great deal with China.  It’s our last…,05/11/19,7516,0,TRUE,1.13E+18
Twitter for iPhone,RT @LindseyGrahamSC: @realDonaldTrump When it comes to China we must be willing to accept short term pain for long term gain. Stick to y…,05/11/19,6900,0,TRUE,1.13E+18
Twitter for iPhone,RT @realDonaldTrump: ....If we bought 15 Billion Dollars of Agriculture from our Farmers far more than China buys now we would have more…,05/11/19,15190,0,TRUE,1.13E+18
Twitter for iPhone,Over the course of the past two days the United States and China have held candid and constructive conversations on the status of the trade relationship between both countries. The relationship between President Xi and myself remains a very strong one and conversations....,05/10/19,17197,85559,FALSE,1.13E+18
Twitter for iPhone,....into the future will continue. In the meantime the United States has imposed Tariffs on China which may or may not be removed depending on what happens with respect to future negotiations!,05/10/19,14150,71964,FALSE,1.13E+18
Twitter for iPhone,“We have been engaged in an unfair relationship with China for a long time. They have reneged on the commitments they made to the WTO particularly around intellectual property.” Carly Fiorina @MariaBartiromo,05/10/19,14155,56359,FALSE,1.13E+18
Twitter for iPhone,Your all time favorite President got tired of waiting for China to help out and start buying from our FARMERS the greatest anywhere in the World!,05/10/19,21806,116035,FALSE,1.13E+18
Twitter for iPhone,....If we bought 15 Billion Dollars of Agriculture from our Farmers far more than China buys now we would have more than 85 Billion Dollars left over for new Infrastructure Healthcare or anything else. China would greatly slow down and we would automatically speed up!,05/10/19,15135,70650,FALSE,1.13E+18
Twitter for iPhone,Tariffs will make our Country MUCH STRONGER not weaker. Just sit back and watch! In the meantime China should not renegotiate deals with the U.S. at the last minute. This is not the Obama Administration or the Administration of Sleepy Joe who let China get away with “murder!”,05/10/19,16291,62384,FALSE,1.13E+18
Twitter for iPhone,....The process has begun to place additional Tariffs at 25% on the remaining 325 Billion Dollars. The U.S. only sells China approximately 100 Billion Dollars of goods &amp; products a very big imbalance. With the over 100 Billion Dollars in Tariffs that we take in we will buy.....,05/10/19,5139,19125,FALSE,1.13E+18
